Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,169.3926,-51.4096,90.0,top
C2,1uF,C_0603_1608Metric,154.0002,-54.7116,-90.0,top
C3,1uF,C_0603_1608Metric,176.6062,-45.339,-90.0,top
C4,10uF,C_0603_1608Metric,177.165,-53.2892,-90.0,top
C5,100nF,C_0603_1608Metric,179.1716,-55.5244,180.0,top
C6,100nF,C_0603_1608Metric,179.7558,-53.3146,180.0,top
C7,4.7uF,C_0603_1608Metric,179.578,-51.5366,180.0,top
C8,4.7uF,C_0603_1608Metric,183.3372,-60.452,90.0,top
D1,LED,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,152.1708,-59.3598,0.0,top
D2,1N5819WS,D_SOD-323,175.387,-53.36755,-90.0,top
J1,FRONT_PANEL,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,161.7868,-45.2436,0.0,top
J2,QWIIC,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,151.9368,-45.2436,0.0,top
J3,Conn_01x02_Pin,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,171.1706,-45.1906,90.0,top
L1,10uH,L_0805_2012Metric,172.2882,-54.02795,0.0,top
R1,100K,R_0603_1608Metric,175.9712,-50.9016,0.0,top
R2,15K,R_0603_1608Metric,175.9712,-49.3522,180.0,top
R3,390K,R_0603_1608Metric,184.9882,-60.452,90.0,top
R4,10K,R_0603_1608Metric,141.6812,-51.2318,90.0,top
R5,10K,R_0603_1608Metric,152.527,-51.2572,90.0,top
R6,10K,R_0603_1608Metric,148.59,-49.0474,-90.0,top
R7,10K,R_0603_1608Metric,147.1676,-57.3024,90.0,top
R8,2.2K,R_0603_1608Metric,154.9146,-50.5714,180.0,top
R9,2.2K,R_0603_1608Metric,157.988,-50.5714,0.0,top
U1,MT3540,SOT-23-5,172.2937,-51.37615,90.0,top
U2,LM809,SOT-23,179.451,-45.0596,0.0,top
U3,TCA9535PWR,TSSOP-24_4.4x7.8mm_P0.65mm,159.0548,-56.9214,0.0,top
